version,name,classification,evidence
20260809055742,wave1b_server_authority_foundation_p1,parallel-staging-lineage,remote-ledger-only; SQL not recoverable
20260809055820,wave1b_authority_c1_finance_helpers,parallel-staging-lineage,remote-ledger-only; SQL not recoverable
20260809055830,wave1b_authority_c2_triggers_gate_table,parallel-staging-lineage,remote-ledger-only; SQL not recoverable
20260809055919,wave1b_authority_c3_manufacturing_clear_rpc,parallel-staging-lineage,remote-ledger-only; SQL not recoverable
20260809055934,wave1b_authority_c4_finance_production_rpc,parallel-staging-lineage,remote-ledger-only; SQL not recoverable
20260809055946,wave1b_authority_c5_wa_promotion_rpc,parallel-staging-lineage,remote-ledger-only; SQL not recoverable
20260809060001,wave1b_authority_c6_gate_rls,parallel-staging-lineage,remote-ledger-only; SQL not recoverable
20260809060729,wave1b_assert_mark_packed_ready,parallel-staging-lineage,remote-ledger-only; SQL not recoverable
20260809060736,wave1b_reject_packed_ready_audit_policy,parallel-staging-lineage,remote-ledger-only; SQL not recoverable
20260809060750,wave1b_packed_ready_and_audit_insert_policy,parallel-staging-lineage,remote-ledger-only; SQL not recoverable
20260809060841,wave1b_manufacturing_four_arg_v4,parallel-staging-lineage,remote-ledger-only; SQL not recoverable
20260809061729,wave1c_authority_closure,parallel-staging-lineage,remote-ledger-only; SQL not recoverable
20260809061810,wave1c_collectible_and_confirm_rpc,parallel-staging-lineage,remote-ledger-only; SQL not recoverable
20260809061821,wave1c_record_paid_and_policy_cleanup,parallel-staging-lineage,remote-ledger-only; SQL not recoverable
20260809062224,wave1c_gate_destination_state_fix,parallel-staging-lineage,remote-ledger-only; SQL not recoverable
20260809062639,wave1c_wa_promotion_returning_fix,parallel-staging-lineage,remote-ledger-only; SQL not recoverable
20260809062702,wave1c_wa_promotion_ambiguity_fix,parallel-staging-lineage,remote-ledger-only; SQL not recoverable
20260809062825,wave1c_confirm_rpc_financials_authority,parallel-staging-lineage,remote-ledger-only; SQL not recoverable
20260809062917,wave1c_wa_key_on_idempotent,parallel-staging-lineage,remote-ledger-only; SQL not recoverable
20260809092909,wave1b_server_authority_foundation.sql,duplicate-equivalent-lineage,remote-ledger-only; duplicate timestamp family
20260809092913,wave1c_authority_closure.sql,duplicate-equivalent-lineage,remote-ledger-only; duplicate timestamp family
20260809092917,wave1c_gate_destination_state_fix.sql,duplicate-equivalent-lineage,remote-ledger-only; duplicate timestamp family
20260809092921,wave1c_wa_promotion_returning_fix.sql,duplicate-equivalent-lineage,remote-ledger-only; duplicate timestamp family
20260809092925,wave1c_confirm_rpc_financials_authority.sql,duplicate-equivalent-lineage,remote-ledger-only; duplicate timestamp family
20260813173118,wa1_zero_loss_single_authority,parallel-staging-lineage,remote-ledger-only; superseded by canonical 20260813120000
20260813173126,wa2_whatsapp_identity_rbac,parallel-staging-lineage,remote-ledger-only; superseded by canonical 20260813160000
20260813173134,wa3_clarification_failsafe,parallel-staging-lineage,remote-ledger-only; superseded by canonical 20260813170000
20260813173142,wa4_multimessage_multimodal,parallel-staging-lineage,remote-ledger-only; superseded by canonical 20260813180000
20260813173149,wa5_governed_operator_replies,parallel-staging-lineage,remote-ledger-only; superseded by canonical 20260813190000
20260813173157,wa6_commercial_disclosure_hardening,parallel-staging-lineage,remote-ledger-only; superseded by canonical 20260813200000
20260813190810,wa7_live_commercial_evidence_bridge,parallel-staging-lineage,remote-ledger-only; superseded by canonical 20260813223000
20260813203028,wa7_whatsapp_config_secret_lockdown,parallel-staging-lineage,remote-ledger-only; superseded by canonical 20260814013000
