function,live_version,repository_source,repository_owner,reconciliation_result,next_control
send-whatsapp,108,absent,legacy-production,missing-canonical-source,capture-before-change
send-whatsapp-automation,25,absent,legacy-production,missing-canonical-source,capture-before-change
whatsapp-operator-reply,25,absent,legacy-production,missing-canonical-source,capture-before-change
catalogue-ai-copy,4,supabase/functions/catalogue-ai-copy/index.ts,oasis-supabase-core,canonical-source-present,retain-with-review
submit-central-scan,4,absent,legacy-production,missing-canonical-source,capture-before-change
send-email,109,absent,legacy-production,missing-canonical-source,capture-before-change
generate-product-attributes,96,supabase/functions/generate-product-attributes/index.ts,oasis-supabase-core,live-repository-drift,remain-quarantined
whatsapp-webhook,121,supabase/functions/whatsapp-webhook/index.ts,legacy-erp-central,canonical-source-present-high-risk,dedicated-recertification
public-order-tracking,78,absent,legacy-production,missing-canonical-source,capture-before-change
whatsapp-otp,80,absent,legacy-production,missing-canonical-source,capture-before-change
admin-create-draft,77,absent,legacy-production,live-reviewed-source-not-captured,capture-before-change
notify-event,63,absent,legacy-production,missing-canonical-source,capture-before-change
banyan-central-parser,59,absent,legacy-production,missing-canonical-source,capture-before-change
generate-rescue-ledger,58,absent,legacy-production,missing-canonical-source,capture-before-change
generate-bi-monthly-ledger,57,absent,legacy-production,missing-canonical-source,capture-before-change
oasis-ai-chat,55,absent,legacy-production,missing-canonical-source,capture-before-change
msg91-otp,50,absent,legacy-production,missing-canonical-source,capture-before-change
validate-user,46,absent,legacy-production,missing-canonical-source,capture-before-change
msg91-webhook,34,absent,legacy-production,missing-canonical-source,capture-before-change
whatsapp-message-stitcher,27,absent,legacy-production,missing-canonical-source,capture-before-change
whatsapp-identify-sender,24,absent,legacy-production,missing-canonical-source,capture-before-change
whatsapp-classify-intent,21,absent,legacy-production,missing-canonical-source,capture-before-change
whatsapp-route-packet,21,absent,legacy-production,missing-canonical-source,capture-before-change
barcode-scan-ingest,20,absent,legacy-production,missing-canonical-source,capture-before-change
whatsapp-studio-inbox-webhook,19,absent,oasis-supabase-core,missing-repository-source,reconstruct-or-retire
whatsapp-studio-inbox-bridge,29,supabase/functions/whatsapp-studio-inbox-bridge/index.ts,oasis-supabase-core,canonical-source-present,retain-controlled
